Algorithm,Sample Size,Elapsed Time(ms)
Insertion,621000,41251
Insertion,631000,42602
Insertion,641000,43847
Insertion,651000,45296
Insertion,661000,46630
Insertion,671000,48106
Insertion,681000,49820
Insertion,691000,51051
Insertion,701000,52505
Insertion,711000,55534
Insertion,721000,57248
Insertion,731000,58806
Insertion,741000,60321
Insertion,751000,61904
Insertion,761000,63491
Insertion,771000,65202
Insertion,781000,66964
Insertion,791000,68574
Insertion,801000,70261
Insertion,811000,71972
Insertion,821000,73666
Insertion,831000,75367
Insertion,841000,77288
Insertion,851000,79054
Insertion,861000,80336
Insertion,871000,78855
Insertion,881000,80764
Insertion,891000,82688
Insertion,901000,84627
Insertion,911000,86408
Insertion,921000,88381
Insertion,931000,90017
Insertion,941000,92065
Insertion,951000,93883
Insertion,961000,95873
Insertion,971000,97823
Insertion,981000,102173
Insertion,991000,103967
