Algorithm,Sample Size,Elapsed Time (ms)
QuickMedian3,100000,6
QuickMedian3,200000,13
QuickMedian3,300000,20
QuickMedian3,400000,28
QuickMedian3,500000,36
QuickMedian3,600000,43
QuickMedian3,700000,51
QuickMedian3,800000,59
QuickMedian3,900000,67
QuickMedian3,1000000,72
QuickMedian3,1100000,69
QuickMedian3,1200000,76
QuickMedian3,1300000,82
QuickMedian3,1400000,90
QuickMedian3,1500000,97
QuickMedian3,1600000,104
QuickMedian3,1700000,110
QuickMedian3,1800000,118
QuickMedian3,1900000,124
QuickMedian3,2000000,130
QuickMedian3,2100000,138
QuickMedian3,2200000,144
QuickMedian3,2300000,151
QuickMedian3,2400000,159
QuickMedian3,2500000,167
QuickMedian3,2600000,174
QuickMedian3,2700000,181
QuickMedian3,2800000,188
QuickMedian3,2900000,195
QuickMedian3,3000000,202
QuickMedian3,3100000,209
QuickMedian3,3200000,216
QuickMedian3,3300000,223
QuickMedian3,3400000,230
QuickMedian3,3500000,238
QuickMedian3,3600000,245
QuickMedian3,3700000,252
QuickMedian3,3800000,259
QuickMedian3,3900000,265
QuickMedian3,4000000,274
QuickMedian3,4100000,279
QuickMedian3,4200000,287
QuickMedian3,4300000,296
QuickMedian3,4400000,303
QuickMedian3,4500000,311
QuickMedian3,4600000,317
QuickMedian3,4700000,325
QuickMedian3,4800000,332
QuickMedian3,4900000,339
QuickMedian3,5000000,346
QuickMedian3,5100000,354
QuickMedian3,5200000,361
QuickMedian3,5300000,369
QuickMedian3,5400000,377
QuickMedian3,5500000,384
QuickMedian3,5600000,392
QuickMedian3,5700000,397
QuickMedian3,5800000,406
QuickMedian3,5900000,412
QuickMedian3,6000000,422
QuickMedian3,6100000,427
QuickMedian3,6200000,436
QuickMedian3,6300000,444
QuickMedian3,6400000,452
QuickMedian3,6500000,456
QuickMedian3,6600000,466
QuickMedian3,6700000,473
QuickMedian3,6800000,480
QuickMedian3,6900000,488
QuickMedian3,7000000,497
QuickMedian3,7100000,502
QuickMedian3,7200000,509
QuickMedian3,7300000,516
QuickMedian3,7400000,524
QuickMedian3,7500000,533
QuickMedian3,7600000,539
QuickMedian3,7700000,547
QuickMedian3,7800000,553
QuickMedian3,7900000,563
QuickMedian3,8000000,568
QuickMedian3,8100000,574
QuickMedian3,8200000,585
QuickMedian3,8300000,596
QuickMedian3,8400000,598
QuickMedian3,8500000,612
QuickMedian3,8600000,614
QuickMedian3,8700000,624
QuickMedian3,8800000,630
QuickMedian3,8900000,637
QuickMedian3,9000000,642
QuickMedian3,9100000,652
QuickMedian3,9200000,659
QuickMedian3,9300000,666
QuickMedian3,9400000,674
QuickMedian3,9500000,682
QuickMedian3,9600000,692
QuickMedian3,9700000,697
QuickMedian3,9800000,707
QuickMedian3,9900000,712
QuickMedian3,10000000,723
QuickMiddle,100000,5
QuickMiddle,200000,11
QuickMiddle,300000,17
QuickMiddle,400000,23
QuickMiddle,500000,30
QuickMiddle,600000,36
QuickMiddle,700000,43
QuickMiddle,800000,49
QuickMiddle,900000,56
QuickMiddle,1000000,62
QuickMiddle,1100000,69
QuickMiddle,1200000,76
QuickMiddle,1300000,82
QuickMiddle,1400000,89
QuickMiddle,1500000,96
QuickMiddle,1600000,103
QuickMiddle,1700000,109
QuickMiddle,1800000,117
QuickMiddle,1900000,124
QuickMiddle,2000000,130
QuickMiddle,2100000,137
QuickMiddle,2200000,144
QuickMiddle,2300000,152
QuickMiddle,2400000,158
QuickMiddle,2500000,165
QuickMiddle,2600000,171
QuickMiddle,2700000,179
QuickMiddle,2800000,186
QuickMiddle,2900000,193
QuickMiddle,3000000,201
QuickMiddle,3100000,208
QuickMiddle,3200000,215
QuickMiddle,3300000,220
QuickMiddle,3400000,228
QuickMiddle,3500000,237
QuickMiddle,3600000,243
QuickMiddle,3700000,249
QuickMiddle,3800000,256
QuickMiddle,3900000,263
QuickMiddle,4000000,271
QuickMiddle,4100000,281
QuickMiddle,4200000,285
QuickMiddle,4300000,296
QuickMiddle,4400000,305
QuickMiddle,4500000,312
QuickMiddle,4600000,319
QuickMiddle,4700000,329
QuickMiddle,4800000,335
QuickMiddle,4900000,341
QuickMiddle,5000000,351
QuickMiddle,5100000,359
QuickMiddle,5200000,366
QuickMiddle,5300000,373
QuickMiddle,5400000,381
QuickMiddle,5500000,389
QuickMiddle,5600000,389
QuickMiddle,5700000,395
QuickMiddle,5800000,403
QuickMiddle,5900000,409
QuickMiddle,6000000,417
QuickMiddle,6100000,422
QuickMiddle,6200000,428
QuickMiddle,6300000,438
QuickMiddle,6400000,444
QuickMiddle,6500000,454
QuickMiddle,6600000,462
QuickMiddle,6700000,466
QuickMiddle,6800000,476
QuickMiddle,6900000,481
QuickMiddle,7000000,487
QuickMiddle,7100000,494
QuickMiddle,7200000,505
QuickMiddle,7300000,510
QuickMiddle,7400000,518
QuickMiddle,7500000,525
QuickMiddle,7600000,533
QuickMiddle,7700000,542
QuickMiddle,7800000,546
QuickMiddle,7900000,555
QuickMiddle,8000000,563
QuickMiddle,8100000,570
QuickMiddle,8200000,579
QuickMiddle,8300000,585
QuickMiddle,8400000,595
QuickMiddle,8500000,602
QuickMiddle,8600000,607
QuickMiddle,8700000,615
QuickMiddle,8800000,625
QuickMiddle,8900000,628
QuickMiddle,9000000,638
QuickMiddle,9100000,642
QuickMiddle,9200000,652
QuickMiddle,9300000,659
QuickMiddle,9400000,666
QuickMiddle,9500000,676
QuickMiddle,9600000,682
QuickMiddle,9700000,689
QuickMiddle,9800000,698
QuickMiddle,9900000,703
QuickMiddle,10000000,715
QuickRandom,100000,6
QuickRandom,200000,13
QuickRandom,300000,20
QuickRandom,400000,28
QuickRandom,500000,35
QuickRandom,600000,43
QuickRandom,700000,51
QuickRandom,800000,58
QuickRandom,900000,66
QuickRandom,1000000,74
QuickRandom,1100000,81
QuickRandom,1200000,89
QuickRandom,1300000,97
QuickRandom,1400000,105
QuickRandom,1500000,112
QuickRandom,1600000,121
QuickRandom,1700000,129
QuickRandom,1800000,136
QuickRandom,1900000,144
QuickRandom,2000000,153
QuickRandom,2100000,161
QuickRandom,2200000,169
QuickRandom,2300000,176
QuickRandom,2400000,184
QuickRandom,2500000,193
QuickRandom,2600000,201
QuickRandom,2700000,209
QuickRandom,2800000,218
QuickRandom,2900000,226
QuickRandom,3000000,234
QuickRandom,3100000,243
QuickRandom,3200000,251
QuickRandom,3300000,259
QuickRandom,3400000,266
QuickRandom,3500000,274
QuickRandom,3600000,283
QuickRandom,3700000,290
QuickRandom,3800000,299
QuickRandom,3900000,308
QuickRandom,4000000,316
QuickRandom,4100000,324
QuickRandom,4200000,333
QuickRandom,4300000,341
QuickRandom,4400000,350
QuickRandom,4500000,358
QuickRandom,4600000,365
QuickRandom,4700000,374
QuickRandom,4800000,384
QuickRandom,4900000,393
QuickRandom,5000000,399
QuickRandom,5100000,408
QuickRandom,5200000,416
QuickRandom,5300000,424
QuickRandom,5400000,433
QuickRandom,5500000,440
QuickRandom,5600000,450
QuickRandom,5700000,459
QuickRandom,5800000,468
QuickRandom,5900000,476
QuickRandom,6000000,482
QuickRandom,6100000,492
QuickRandom,6200000,501
QuickRandom,6300000,512
QuickRandom,6400000,519
QuickRandom,6500000,526
QuickRandom,6600000,534
QuickRandom,6700000,541
QuickRandom,6800000,551
QuickRandom,6900000,558
QuickRandom,7000000,570
QuickRandom,7100000,578
QuickRandom,7200000,583
QuickRandom,7300000,593
QuickRandom,7400000,601
QuickRandom,7500000,611
QuickRandom,7600000,620
QuickRandom,7700000,628
QuickRandom,7800000,638
QuickRandom,7900000,647
QuickRandom,8000000,653
QuickRandom,8100000,661
QuickRandom,8200000,672
QuickRandom,8300000,677
QuickRandom,8400000,690
QuickRandom,8500000,697
QuickRandom,8600000,705
QuickRandom,8700000,715
QuickRandom,8800000,721
QuickRandom,8900000,732
QuickRandom,9000000,740
QuickRandom,9100000,750
QuickRandom,9200000,759
QuickRandom,9300000,766
QuickRandom,9400000,776
QuickRandom,9500000,781
QuickRandom,9600000,792
QuickRandom,9700000,800
QuickRandom,9800000,809
QuickRandom,9900000,819
QuickRandom,10000000,825
QuickMedianMedian,100000,12
QuickMedianMedian,200000,26
QuickMedianMedian,300000,40
QuickMedianMedian,400000,54
QuickMedianMedian,500000,69
QuickMedianMedian,600000,84
QuickMedianMedian,700000,99
QuickMedianMedian,800000,114
QuickMedianMedian,900000,129
QuickMedianMedian,1000000,144
QuickMedianMedian,1100000,160
QuickMedianMedian,1200000,176
QuickMedianMedian,1300000,192
QuickMedianMedian,1400000,207
QuickMedianMedian,1500000,221
QuickMedianMedian,1600000,237
QuickMedianMedian,1700000,253
QuickMedianMedian,1800000,270
QuickMedianMedian,1900000,288
QuickMedianMedian,2000000,302
QuickMedianMedian,2100000,319
QuickMedianMedian,2200000,333
QuickMedianMedian,2300000,349
QuickMedianMedian,2400000,365
QuickMedianMedian,2500000,384
QuickMedianMedian,2600000,400
QuickMedianMedian,2700000,418
QuickMedianMedian,2800000,434
QuickMedianMedian,2900000,447
QuickMedianMedian,3000000,463
QuickMedianMedian,3100000,479
QuickMedianMedian,3200000,498
QuickMedianMedian,3300000,513
QuickMedianMedian,3400000,532
QuickMedianMedian,3500000,547
QuickMedianMedian,3600000,562
QuickMedianMedian,3700000,578
QuickMedianMedian,3800000,595
QuickMedianMedian,3900000,611
QuickMedianMedian,4000000,628
QuickMedianMedian,4100000,645
QuickMedianMedian,4200000,661
QuickMedianMedian,4300000,679
QuickMedianMedian,4400000,696
QuickMedianMedian,4500000,712
QuickMedianMedian,4600000,729
QuickMedianMedian,4700000,746
QuickMedianMedian,4800000,763
QuickMedianMedian,4900000,780
QuickMedianMedian,5000000,797
QuickMedianMedian,5100000,815
QuickMedianMedian,5200000,830
QuickMedianMedian,5300000,848
QuickMedianMedian,5400000,864
QuickMedianMedian,5500000,881
QuickMedianMedian,5600000,900
QuickMedianMedian,5700000,917
QuickMedianMedian,5800000,932
QuickMedianMedian,5900000,950
QuickMedianMedian,6000000,967
QuickMedianMedian,6100000,985
QuickMedianMedian,6200000,1001
QuickMedianMedian,6300000,1018
QuickMedianMedian,6400000,1036
QuickMedianMedian,6500000,1056
QuickMedianMedian,6600000,1070
QuickMedianMedian,6700000,1087
QuickMedianMedian,6800000,1104
QuickMedianMedian,6900000,1121
QuickMedianMedian,7000000,1141
QuickMedianMedian,7100000,1156
QuickMedianMedian,7200000,1180
QuickMedianMedian,7300000,1193
QuickMedianMedian,7400000,1211
QuickMedianMedian,7500000,1228
QuickMedianMedian,7600000,1248
QuickMedianMedian,7700000,1264
QuickMedianMedian,7800000,1277
QuickMedianMedian,7900000,1295
QuickMedianMedian,8000000,1310
QuickMedianMedian,8100000,1328
QuickMedianMedian,8200000,1346
QuickMedianMedian,8300000,1362
QuickMedianMedian,8400000,1381
QuickMedianMedian,8500000,1403
QuickMedianMedian,8600000,1422
QuickMedianMedian,8700000,1441
QuickMedianMedian,8800000,1461
QuickMedianMedian,8900000,1478
QuickMedianMedian,9000000,1495
QuickMedianMedian,9100000,1510
QuickMedianMedian,9200000,1522
QuickMedianMedian,9300000,1541
QuickMedianMedian,9400000,1559
QuickMedianMedian,9500000,1578
QuickMedianMedian,9600000,1600
QuickMedianMedian,9700000,1619
QuickMedianMedian,9800000,1630
QuickMedianMedian,9900000,1652
QuickMedianMedian,10000000,1665
Merge,100000,6
Merge,200000,12
Merge,300000,19
Merge,400000,26
Merge,500000,33
Merge,600000,41
Merge,700000,48
Merge,800000,56
Merge,900000,63
Merge,1000000,71
Merge,1100000,79
Merge,1200000,86
Merge,1300000,93
Merge,1400000,102
Merge,1500000,109
Merge,1600000,117
Merge,1700000,127
Merge,1800000,134
Merge,1900000,141
Merge,2000000,149
Merge,2100000,156
Merge,2200000,165
Merge,2300000,174
Merge,2400000,180
Merge,2500000,188
Merge,2600000,224
Merge,2700000,232
Merge,2800000,242
Merge,2900000,248
Merge,3000000,254
Merge,3100000,263
Merge,3200000,279
Merge,3300000,289
Merge,3400000,299
Merge,3500000,278
Merge,3600000,280
Merge,3700000,288
Merge,3800000,297
Merge,3900000,304
Merge,4000000,313
Merge,4100000,321
Merge,4200000,328
Merge,4300000,338
Merge,4400000,347
Merge,4500000,355
Merge,4600000,363
Merge,4700000,370
Merge,4800000,379
Merge,4900000,388
Merge,5000000,396
Merge,5100000,404
Merge,5200000,412
Merge,5300000,421
Merge,5400000,431
Merge,5500000,441
Merge,5600000,449
Merge,5700000,457
Merge,5800000,465
Merge,5900000,474
Merge,6000000,482
Merge,6100000,490
Merge,6200000,498
Merge,6300000,507
Merge,6400000,517
Merge,6500000,526
Merge,6600000,536
Merge,6700000,546
Merge,6800000,554
Merge,6900000,564
Merge,7000000,571
Merge,7100000,580
Merge,7200000,587
Merge,7300000,595
Merge,7400000,605
Merge,7500000,614
Merge,7600000,622
Merge,7700000,632
Merge,7800000,639
Merge,7900000,647
Merge,8000000,657
Merge,8100000,665
Merge,8200000,673
Merge,8300000,680
Merge,8400000,687
Merge,8500000,699
Merge,8600000,711
Merge,8700000,718
Merge,8800000,728
Merge,8900000,736
Merge,9000000,744
Merge,9100000,752
Merge,9200000,761
Merge,9300000,769
Merge,9400000,776
Merge,9500000,786
Merge,9600000,797
Merge,9700000,807
Merge,9800000,812
Merge,9900000,820
Merge,10000000,829
